NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Freivogel;Martin;605036;Gelterkinden;1006;-68.0;1267;7;7
Thai;Thanh;714359;Gaiserwald;1005;23.0;1268;5;5
Rhyner;Christoph;713174;Toggenburg;1005;-1.0;1269;6;6
Schmidt;Matthias;719160;Ettenhausen;1005;166.0;1270;3;3
Hostettler;Beat;701541;Rapperswil-Jona;1004;0.0;1271;6;6
Mettraux;Thierry;402126;Matran;1004;19.0;1272;5;5
Kaszàs;Zoltàn;703559;Meilen-Männedorf;1004;3.0;1273;6;6
Wolf;Andy;609107;Baden;1004;-22.0;1274;6;6
Frésard;Mathis;416086;Rossens;1004;4.0;1275;6;6
Nagrath;Anirudha;702869;Bassersdorf;1003;-6.0;1276;6;6
Zingg;Jürg;701925;Rapid Luzern;1003;22.0;1277;6;6
Wenger;Othmar;704143;Weinfelden;1003;8.0;1278;5;5
Briceag;Marian;415601;Romont-Villaz;1003;2.0;1279;6;6
Rüttimann;Noel;515243;Bern;1003;-31.0;1280;6;6
Caër;Laurent;110098;Châtelaine;1003;0.0;1281;6;6
That;Pueng;616006;Basel;1003;0.0;1282;6;6
Vallat;Cyril;204007;Tramelan;1003;-17.0;1283;6;6
Spring;Benjamin;235108;Côte Peseux;1003;0.0;1284;6;6
Dufner;Gregor;600310;Bremgarten;1002;-1.0;1285;6;6
Alvarez;Odel;104042;Nugerol-Le Landeron;1002;-3.0;1286;5;5
Kuronen;Timo;612005;Aarau;1002;-31.0;1287;6;6
Lebaz;Théo;913042;Rolle;1001;-6.0;1288;6;6
Güttinger;Ramon;701499;Ettenhausen;1001;20.0;1289;5;5
Deppe;Yannick;614027;Brugg;1001;-44.0;1290;6;6
Engler;René;500725;Steffisburg;1001;-1.0;1291;6;6
Stüssi;Roman;703080;Glarus;1001;-15.0;1292;5;5
Rodriguez Ruano;Alessandro;710037;Wetzikon;1001;22.0;1293;5;5
Kaul;Thomas;801838;Hünenberg;1000;-3.0;1294;6;6
Merz;Lukas;511068;Kirchberg;1000;-3.0;1295;6;6
Reichenbach;Daniel;406100;Martigny;1000;2.0;1296;6;6
Jelinski;Axel;202049;Brügg;1000;-28.0;1297;6;6
Lanz;Daniel;906032;Schöftland;1000;0.0;1298;6;6
Schreyer;Christof;702023;Glarus;999;1.0;1299;6;6
Wiget;Diego;801613;Hünenberg;999;-4.0;1300;6;6
Bächtold;Thomas;704174;Imperial Winterthur;999;2.0;1301;6;6
Meier;Christian;700566;Thalwil;999;-11.0;1302;6;6
Vaucher;Nicolas;101868;Mandement;999;-9.0;1303;6;6
Bulgheroni;Rolf;801824;Sarnen;999;-45.0;1304;7;7
Kreiner;Bruno;716094;Dübendorf-Volketswil;998;25.0;1305;5;5
Burgat;Alban;717002;Affoltern A/A;998;14.0;1306;5;5
Pardo;Luca Artiom;415363;Sierre;998;16.0;1307;5;5
Borin;Julien;414008;Orbe;998;-1.0;1308;6;6
Richter;Thorsten;616051;Aarau;998;0.0;1309;6;6
Kammer;Marcel;703429;Gossau Zuerich;998;-13.0;1310;6;6
Vauthey;Stefan;504257;Herzogenbuchsee;998;37.0;1311;5;5
Boillat;Thomas;600326;Breitenbach;998;-39.0;1312;6;6
Keller;Philipp;700797;Schaffhausen;998;0.0;1313;6;6
Peric;Ljupko;600025;Spreitenbach;998;0.0;1314;6;6
Pöpken;Rainer;802219;Aarau;998;-5.0;1315;6;6
Zwicker;Marcel;702032;Romanshorn;998;-28.0;1316;7;7
Jüni;Colin;908196;Wädenswil;997;-22.0;1317;6;6
Stutz;Adrian;710004;Steckborn-Homburg;997;-28.0;1318;6;6
Blunier;Urs;500599;Langenthal;997;16.0;1319;5;5
Behrschmidt;Werner;709116;Wädenswil;997;-3.0;1320;6;6
Siegenthaler;Bruno;503045;Port;997;-36.0;1321;6;6
Zemp;Florian;601238;Basel;997;-37.0;1322;6;6
Orzati;Andrea;718170;Wädenswil;996;-20.0;1323;6;6
Zumsteg;Christian;600779;Möhlin;996;-24.0;1324;6;6
Knoblauch;Beat;600026;Schöftland;996;-8.0;1325;5;5
Ruckstuhl;Alex;701007;Frauenfeld;996;7.0;1326;5;5
Metz;Martin;510003;Steffisburg;996;9.0;1327;5;5
Gobet;Roger;501086;Aarberg;996;-4.0;1328;5;5
Barthelmes;Leandro;615073;Rio-Star Muttenz;995;27.0;1329;5;5
Eugster;Philipp;808040;Rapid Luzern;995;-7.0;1330;5;5
Lim;Soung;603012;Bremgarten;995;-9.0;1331;6;6
Conrad;Thomas;801993;Schenkon;995;3.0;1332;6;6
Henry;Jonas;412069;Romanel;995;-9.0;1333;6;6
