NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Weber;Lionel;618008;Rio-Star Muttenz;1994;10.0;1;20;20
Rushton;Andrew;108040;Meyrin;1927;0.0;2;20;20
Yang;Chengbowen;609081;Rio-Star Muttenz;1912;-8.0;3;20;20
Rosenberg;Roman;912096;T-Card;1904;0.0;4;20;20
Molnar;Csaba;312001;Lugano;1894;0.0;5;20;20
Spinicchia;Simone;311007;Lugano;1891;0.0;6;20;20
Burgis;Matiss;715036;Wil SG;1877;0.0;7;20;20
Schmid;Elia;505016;Wil SG;1870;-10.0;8;20;20
Zombori;David;714086;Meyrin;1869;0.0;9;20;20
Ding;Yi;912111;Baar;1858;-5.0;10;20;20
Möller;Fredrik;710072;Wil SG;1842;0.0;11;20;20
Champod;Nicolas;102233;Bernex;1838;0.0;12;20;20
Girod;Dorian;908238;ZZ-Lancy;1818;-5.0;13;20;20
Geminiani;Anthony;419078;Sierre;1812;12.0;14;20;20
Tschanz;Cédric;611078;Rio-Star Muttenz;1808;0.0;15;20;20
Pelz;Pekka;908142;Neuhausen;1807;7.0;16;20;20
Givone;Nolan;119020;UGS-Chênois;1802;2.0;17;20;20
Martinez;Michel;119040;Silver Star;1801;1.0;18;20;20
Stalla;Simon;119039;Silver Star;1801;1.0;19;20;20
Daus;David;809033;Rapid Luzern;1801;0.0;20;20;20
Alcayde;Guillaume;219071;La Chaux-de-Fonds;1801;1.0;21;20;20
Ecseki;Nandor;719120;Neuhausen;1800;0.0;22;20;20
Wilson;Ross;119037;Meyrin;1800;0.0;23;20;20
Posch;Lars;708022;Rio-Star Muttenz;1790;18.0;24;20;20
Oancea;Ionut;116009;Veyrier;1782;0.0;25;20;20
Lorincz;Barna;209037;Mandement;1775;1.0;26;20;20
Osiro Shinohara;Pedro Ryu;611050;Rio-Star Muttenz;1774;0.0;27;20;20
O'Driscoll;Michael;116014;Meyrin;1773;-16.0;28;20;20
Huth;Simon;816033;Rapid Luzern;1759;32.0;29;19;19
Rebetez;Yoan;206121;ZZ-Lancy;1758;0.0;30;20;20
Hardmeier;Elias;711066;Neuhausen;1752;0.0;31;20;20
Boccard;Sam;111039;ZZ-Lancy;1752;-5.0;32;20;20
Simonet;Nicolas;907089;Veyrier;1746;0.0;33;20;20
Perman;Oscar;717048;Wil SG;1743;0.0;34;20;20
Bernhard;Denis;704199;Rapperswil-Jona;1740;13.0;35;19;19
Vendé;Gaël;205079;La Chaux-de-Fonds;1734;5.0;36;19;19
Karin;Filip;705159;Neuhausen;1734;-13.0;37;20;20
Brunner;Dimitri;608028;Rapid Luzern;1732;-16.0;38;20;20
Tofalvi;Norbert;714139;Wädenswil;1730;-27.0;39;20;20
Hotz;Christian;700683;Wil SG;1728;-7.0;40;19;19
Taffé;Yanick;908067;ZZ-Lancy;1727;6.0;41;19;19
Moullet;Barish;211054;La Chaux-de-Fonds;1725;7.0;42;19;19
Taboada Valverde;Rafael;118010;Silver Star;1714;0.0;43;19;19
Jin;Linlin;703300;Baar;1709;0.0;44;19;19
Zmirou;Samy;110049;Mandement;1706;0.0;45;19;19
Miller;Thierry;403453;Bulle;1705;0.0;46;19;19
Jovchev;Nico;818021;Rapid Luzern;1697;7.0;47;19;19
Stoll;Loïc;113058;ZZ-Lancy;1687;25.0;48;19;19
Tormos;Kilian;119043;Veyrier;1685;0.0;49;19;19
Merz;Philip;805011;Lugano;1681;0.0;50;19;19
Schärrer;Mauro;712071;Neuhausen;1678;2.0;51;19;19
Memmi;Daniel;101802;Bernex;1673;0.0;52;19;19
Saidi;Farid;109001;Veyrier;1669;1.0;53;19;19
Daujat;Ludovic;117039;UGS-Chênois;1658;0.0;54;19;19
Moser;Dominik;711162;Young Stars ZH;1658;16.0;55;19;19
Rütter;Nick;719061;St. Gallen;1651;10.0;56;19;19
Givone;Benjamin;118028;UGS-Chênois;1651;-6.0;57;19;19
Märki;Julien;206013;La Chaux-de-Fonds;1649;14.0;58;19;19
Stevanovic;Nenad;101321;Meyrin;1642;-30.0;59;19;19
Hollo;Zsolt;717016;Rapperswil-Jona;1642;29.0;60;18;18
Babikian;Rémi;117025;Carouge;1637;9.0;61;18;18
Britka;Zvonimir;216006;Cortaillod;1634;-9.0;62;19;19
Rehorek;Pavel;700777;Neuhausen;1627;7.0;63;18;18
Betemps;Alexandre;104070;ZZ-Lancy;1606;3.0;64;18;18
Baudrillard;David;108004;ZZ-Lancy;1605;12.0;65;18;18
Beal;Gregory;119022;UGS-Chênois;1602;17.0;66;18;18
Klee;Tobias;704093;Affoltern A/A;1601;20.0;67;18;18
Blazek;Petr;712049;Rapperswil-Jona;1601;-14.0;68;18;18
Trummler;Linus;802082;Uster;1599;0.0;69;18;18
Suvorin;Deniel;410086;Bernex;1596;0.0;70;18;18
Vigh;Csaba;405626;Collombey/Muraz;1595;5.0;71;18;18
Renold;Stefan;701308;Bremgarten;1593;16.0;72;18;18
Reuseau;Louis;419037;Vevey;1590;5.0;73;18;18
Krstic;Filip;407110;Veyrier;1588;-22.0;74;18;18
Romanens;Bastien;412005;Fribourg;1588;-6.0;75;18;18
Schaffter;Simon;204051;Delémont;1588;3.0;76;18;18
Vorherr;Thomas;600998;Pratteln;1588;13.0;77;18;18
Loli Casio;Jhon;914400;T-Card;1585;0.0;78;18;18
Maklari;Akos;600936;Versoix;1585;-11.0;79;18;18
Wendland;Tino;700754;Young Stars ZH;1585;0.0;80;18;18
Ondis;Jozef;708013;St. Gallen;1584;-14.0;81;18;18
Lörtscher;Basil;702328;Young Stars ZH;1583;0.0;82;18;18
Truszczynski;Andrzey Romuald;506010;Thun;1582;1.0;83;18;18
Kubat;Michal;714100;St. Gallen;1579;5.0;84;18;18
Meier;Matthias;701813;Bremgarten;1575;1.0;85;18;18
Anthonioz;Luca;405249;Bulle;1574;0.0;86;18;18
Schaufelberger;Dominic;704122;Young Stars ZH;1574;-12.0;87;18;18
Adeshina Isiaka;Niniola;318002;Lugano;1572;0.0;88;18;18
Bartolomé;Rémi;115281;UGS-Chênois;1561;0.0;89;18;18
Kneuss;Olivier;404681;Fribourg;1547;0.0;90;18;18
Hintz;Rajan;502238;Rapperswil-Jona;1543;-11.0;91;18;18
Ducrey;Grégory;404067;Vevey;1542;8.0;92;17;17
Tiugan;Cristian;106081;Forward-Morges;1541;10.0;93;17;17
Karam;Salim;114047;ZZ-Lancy;1540;-10.0;94;18;18
Busslinger;Julian;705068;Young Stars ZH;1537;36.0;95;17;17
Wermelinger;Jonathan;802054;Fribourg;1535;-12.0;96;18;18
Melliger;Andrin;608026;Wädenswil;1535;0.0;97;17;17
Schmid;Roland;702051;Horgen;1533;7.0;98;17;17
Collaros;Paul-Antoine;405535;Forward-Morges;1530;-6.0;99;17;17
Niessner;Erich;601078;Schöftland;1525;6.0;100;17;17
Pelz;Matti;715026;Neuhausen;1524;9.0;101;17;17
Betti;Fabio;300765;Tenero;1523;32.0;102;17;17
Mielle;Florian;119023;UGS-Chênois;1515;10.0;103;17;17
Ott;Lukas;713021;Wädenswil;1512;1.0;104;17;17
Belissant;Florian;119016;Carouge;1511;6.0;105;17;17
Von Däniken;Samir;711140;Young Stars ZH;1510;9.0;106;16;16
Bandi;André;702802;Horgen;1508;5.0;107;17;17
Perroud;Andy;406042;Bulle;1507;0.0;108;17;17
Williams;Andrew;318006;Lugano;1506;-37.0;109;18;18
Lauper;Silvan;903020;Lenzburg;1504;-32.0;110;17;17
Ackermann;Tim;719050;Zürich-Affoltern;1502;-3.0;111;17;17
Bühlmann;Daniel;503497;Heimberg;1501;0.0;112;17;17
Fischer;Christian;502378;Aarberg;1501;-8.0;113;17;17
Borter;Eric;511095;Port;1500;14.0;114;17;17
Garcia;Laurent;206066;Sierre;1497;3.0;115;17;17
Vogel;Jean-Philippe;101133;Sierre;1496;-20.0;116;17;17
Carré;Miquel;410071;Bulle;1495;1.0;117;17;17
Nick;Filippo;300373;Uster;1495;2.0;118;17;17
Schmidli;Ben;813052;Rapid Luzern;1495;12.0;119;17;17
Loiseau;Alain;117008;Silver Star;1494;-12.0;120;17;17
Sorrentino;Giacomo;102225;UGS-Chênois;1494;13.0;121;17;17
Santomauro;Jean-François;104098;Veyrier;1493;-11.0;122;17;17
Kull;Fabian;707048;Wil SG;1490;59.0;123;16;16
Fauvel;Adrien;111005;Carouge;1483;-14.0;124;17;17
Meyer;Andreas;801916;Rapid Luzern;1482;0.0;125;17;17
Piccoli;Maël;107036;ZZ-Lancy;1481;18.0;126;16;16
Revil;Romain;119021;UGS-Chênois;1481;-24.0;127;17;17
Pade;Adam;300770;Lugano;1479;0.0;128;17;17
Jayanetti;Lakith;911002;Neuhausen;1479;32.0;129;16;16
Steinhauser;Marc;503493;Aarberg;1479;-6.0;130;17;17
Ayadi;Karim;606005;Rio-Star Muttenz;1477;27.0;131;16;16
Bregger;Julien;907129;Vevey;1476;6.0;132;17;17
Hodel;Roland;800989;Schenkon;1476;6.0;133;17;17
Falconnier;Timothy;615070;Rio-Star Muttenz;1474;-17.0;134;17;17
Wyss;Roman;502090;Ostermundigen;1474;11.0;135;16;16
Renold;Jannick;610020;Neuhausen;1474;-13.0;136;16;16
Schaffter;Cédric;235053;Rossens;1474;-7.0;137;17;17
Lusson;Louis;119002;Carouge;1472;8.0;138;16;16
Moreno;Kilian;209009;Delémont;1470;-8.0;139;17;17
Coroian;George-Räzvan;118109;Veyrier;1469;0.0;140;16;16
Trampus;Jan;801217;Kriens;1469;-28.0;141;17;17
Ortner;René;702358;Kriens;1468;-16.0;142;17;17
George;Aarkash;913100;T-Card;1468;-49.0;143;17;17
Matuschek;Nicolai;702825;Zürich-Affoltern;1467;2.0;144;16;16
Guidicelli;Nicola;311048;Lugano;1465;0.0;145;16;16
Wegmann;Thomas;700196;Wil SG;1464;6.0;146;16;16
Neuber;Oliver;716046;Chur;1463;-13.0;147;17;17
Winterberger;Manuel;503564;Ostermundigen;1462;-1.0;148;16;16
Gentile;Giovanni;700536;Wädenswil;1458;3.0;149;16;16
Mühlebach;Robin;603021;Döttingen;1455;22.0;150;16;16
Torres;Daniel;118121;Silver Star;1455;0.0;151;16;16
Schöpfer;Oliver;701464;Affoltern A/A;1454;0.0;152;16;16
Voyame;David;209042;Delémont;1451;0.0;153;16;16
Jacobsen;Jens;208016;Cortaillod;1449;0.0;154;16;16
Citaku;Linor;718041;Triesen;1447;-17.0;155;16;16
Biro-Levescot;Loris;102056;UGS-Chênois;1446;3.0;156;16;16
Morales;Samuel;513028;Heimberg;1445;15.0;157;16;16
Belz;Andreas;601059;Zofingen;1443;2.0;158;16;16
Dirand;Baptiste;119041;Silver Star;1441;1.0;159;16;16
Ritschard;Nico;511045;Ostermundigen;1440;-2.0;160;16;16
Bencze;Zsolt;609080;Pratteln;1438;-2.0;161;16;16
Vepa;Siddharth;112029;Meyrin;1437;-7.0;162;16;16
Vepa;Chaitanya;112028;Meyrin;1435;6.0;163;16;16
Demichel;Sébastien;407021;Fribourg;1435;0.0;164;16;16
Schreiber;Marc;702156;St. Gallen;1435;0.0;165;16;16
Gilliéron;Severin;504381;Ostermundigen;1434;-5.0;166;16;16
Bengui;Ilan;102432;ZZ-Lancy;1433;-4.0;167;16;16
Abreu;César;414033;Collombey/Muraz;1433;4.0;168;16;16
Freymond;Pierre-Alain;103041;ZZ-Lancy;1432;40.0;169;15;15
Hasler;Braden;112024;UGS-Chênois;1432;4.0;170;16;16
Lenggenhager;Fabian;405261;Sierre;1428;3.0;171;16;16
Mischler;Lucas;913045;Vevey;1425;-2.0;172;16;16
Stukelja;Rista;100608;Mandement;1425;2.0;173;16;16
Norden;Jens;909018;Zürich-Affoltern;1424;6.0;174;16;16
Fust;Patrick;702320;Wil SG;1421;-5.0;175;16;16
Velickovic;Toplica;101310;Veyrier;1419;-39.0;176;16;16
Peter;Daniel;704183;Wil SG;1418;8.0;177;15;15
Battaglia;Beat;703392;Chur;1416;0.0;178;16;16
Gomez;Jordi;300322;Tenero;1415;10.0;179;16;16
Renold;Robin;614017;Bremgarten;1415;9.0;180;14;14
Brunner;Pascal;508016;Münsingen;1415;-3.0;181;16;16
Nemeth;Philippe-Janos;503306;Thun;1415;15.0;182;15;15
Manco;Gillian;108014;Carouge;1414;-15.0;183;16;16
Soom;Daniel;500973;Port;1414;12.0;184;15;15
Rouzinov;Serguei;102343;ZZ-Lancy;1412;0.0;185;16;16
Pfeiffer;Philipp;700994;Gaiserwald;1410;0.0;186;16;16
Béguelin;Romain;209087;Delémont;1409;7.0;187;15;15
Razafimamonjy;Nicolas;504030;Silver Star;1406;-15.0;188;16;16
Delpechitra;Christopher;904024;Horgen;1403;8.0;189;15;15
Hurlebaus;Wadim;818011;Baar;1402;-11.0;190;16;16
Lazic;Stefan;300794;Lugano;1402;-17.0;191;16;16
Kessler;Simon;711036;Rapperswil-Jona;1402;0.0;192;15;15
Robbi;Curdin;511075;Heimberg;1402;-33.0;193;16;16
Souiller;Frank;101560;Châtelaine;1401;-3.0;194;15;15
Caverzasi;Mattia;312002;T-Card;1400;33.0;195;15;15
Selinger;Janosch;711166;Neuhausen;1398;0.0;196;15;15
Brigmann;Oliver;702557;Affoltern A/A;1398;-2.0;197;16;16
Keller;Pino;711071;Wetzikon;1397;10.0;198;15;15
Moret;Robin;405615;Forward-Morges;1396;8.0;199;15;15
Prod'Hom;Raphaël;405417;Lausanne;1395;-10.0;200;15;15
Celcer;Tine;612025;Döttingen;1395;9.0;201;15;15
Rabold;Eric;708150;Reussbühl;1394;27.0;202;15;15
Keller;Remo;404098;Sierre;1393;9.0;203;15;15
Ott;Daniel;701208;Wädenswil;1392;-4.0;204;15;15
Pentarakis;Kyriakos;718066;St. Gallen;1392;-3.0;205;15;15
Taylor;Maurice;100704;Carouge;1391;0.0;206;15;15
Busin;Arno;700271;Young Stars ZH;1391;0.0;207;15;15
Müller;Reto;904007;Pratteln;1389;-11.0;208;15;15
Duruz;Grégory;405153;Collombey/Muraz;1389;-12.0;209;15;15
Hurtado;Yardel;112009;ZZ-Lancy;1388;20.0;210;15;15
Perfeito;Luca;112064;Versoix;1388;-26.0;211;16;16
Fournot;Fabien;119015;Châtelaine;1386;1.0;212;15;15
Muncan;Dorian;701887;Chur;1386;7.0;213;15;15
Pan;Faustin;119019;Châtelaine;1385;0.0;214;15;15
Zeugin;Philipp;601385;Aesch;1385;-15.0;215;15;15
Jund;Patrick;715008;Rapperswil-Jona;1385;21.0;216;15;15
Chometton;Julien;105099;Mandement;1385;0.0;217;15;15
Mouches;Bertrand;119024;Mandement;1385;0.0;218;15;15
Weibel;Kevin;107004;Versoix;1385;0.0;219;15;15
Tänzer;Torne;208039;La Chaux-de-Fonds;1384;8.0;220;15;15
Poujoulat;Bastien;113047;Vernier;1384;50.0;221;14;14
Stumpfecker;Karl;706060;Chur;1384;-29.0;222;16;16
Waltenberger;Patrick;805017;Wohlen;1382;0.0;223;15;15
Ondis;Jozef Jun;710044;Neuhausen;1381;25.0;224;15;15
Lalive d'Epinay;Hadrien;111063;UGS-Chênois;1381;0.0;225;15;15
Loureiro;Daniel;101899;Châtelaine;1380;-38.0;226;16;16
Berset;Bastien;407046;Bulle;1378;2.0;227;15;15
Dingwerth;Klaus;709110;Winterthur;1378;-3.0;228;15;15
Wey;Samuel;407113;Rossens;1375;-10.0;229;15;15
Nyanguile;Origène;410101;Sierre;1375;-9.0;230;15;15
Vanzeir;Jürgen;600193;Pratteln;1374;16.0;231;14;14
Graber;Marco;700061;Affoltern A/A;1373;0.0;232;15;15
Utiger;Joël;908199;Wädenswil;1371;-46.0;233;16;16
Vento;Vincenzo;714069;Zürich-Affoltern;1370;19.0;234;14;14
Bays;Jeremy;408063;Gland;1370;79.0;235;11;11
Rochat;Colin;907097;Rossens;1370;21.0;236;14;14
Hitos Alvarez;Javier Jesus;712172;Rapperswil-Jona;1368;24.0;237;14;14
Huser;Sylvain;502122;Ostermundigen;1366;0.0;238;15;15
Kurras;Jürgen;510057;Münsingen;1363;22.0;239;14;14
Hofmann;Dirk;506081;Port;1362;-28.0;240;15;15
Arnet;Luca;812007;Rapid Luzern;1360;13.0;241;14;14
Kurth;Daniel;600762;Aesch;1358;17.0;242;14;14
Asch;Roland;601153;Waldenburg;1355;1.0;243;14;14
Tallner;Christian;612019;Bremgarten;1354;-3.0;244;14;14
Pinzoni;Guglielmo;309022;Lugano;1354;-48.0;245;15;15
Rosenast;Thomas;700102;Gaiserwald;1353;9.0;246;14;14
Semeraro;Vito;801342;Lenzburg;1353;-21.0;247;15;15
Ernst;Nathan;911116;Lausanne;1351;-18.0;248;15;15
Meyer;Dario;807038;Rapid Luzern;1351;7.0;249;14;14
Nölkes;Rolf;800576;Baar;1351;-28.0;250;14;14
McHale;Christian;503144;Port;1349;2.0;251;14;14
Alventosa;Fermin;712156;Rapperswil-Jona;1349;13.0;252;13;13
Schuhmayer;Achim;706005;Wetzikon;1349;-16.0;253;15;15
Laurent;Ludovic;912021;Lausanne;1348;31.0;254;13;13
Junillon;Cédric;405101;Lausanne;1348;0.0;255;14;14
Langhart;Roli;702719;Wetzikon;1345;13.0;256;14;14
Garin;Léo;219067;La Chaux-de-Fonds;1344;4.0;257;14;14
Leisse;Mirko;712129;Neuhausen;1344;0.0;258;14;14
Hillmann;Matthias;701733;Zürich-Affoltern;1342;-8.0;259;14;14
Meyer;Pascal;405109;Cortaillod;1342;-5.0;260;14;14
Hick;Pascal;203056;Cortaillod;1341;10.0;261;14;14
Langel;Laurent;102026;Châtelaine;1341;6.0;262;14;14
Mamié;Noah;710019;St. Gallen;1341;0.0;263;14;14
Griessbacher;Stefan;706145;Bronschhofen;1340;-23.0;264;15;15
Thi;Van Chi;502703;Solothurn;1340;24.0;265;13;13
Gränicher;Benjamin;700238;Affoltern A/A;1340;9.0;266;14;14
Klauth;Norbert;718075;Wetzikon;1340;20.0;267;14;14
Schafer;Leandro;910025;Burgdorf;1340;39.0;268;13;13
Maracic;Boris;802004;Schöftland;1339;-10.0;269;14;14
Senn;Markus;601747;Frick;1339;16.0;270;14;14
Brunet Cordero;Fernando;108012;Carouge;1338;45.0;271;14;14
Abt;Ronny;606067;Pratteln;1337;4.0;272;14;14
Ponomarenko;Vassili;114050;Vernier;1336;1.0;273;14;14
Vorpe;Antoine;102122;Châtelaine;1336;0.0;274;14;14
Lambert;Philippe;218064;Porrentruy;1334;14.0;275;13;13
Hagmann;Edgar;600120;Pratteln;1334;9.0;276;14;14
Petrovic;Davor;604033;Young Stars ZH;1334;0.0;277;14;14
Bodmer;Nicolas;701274;Rapperswil-Jona;1333;31.0;278;14;14
Widmer;Jonas;502755;Belp;1333;7.0;279;14;14
Selva;Martin;700999;Gaiserwald;1332;15.0;280;13;13
Margoler;Filippo;304034;Tenero;1332;0.0;281;14;14
Burgermeister;Fabio;909028;Romanshorn;1332;4.0;282;14;14
Ulrich;Numa;715052;Wädenswil;1331;1.0;283;14;14
Hautekeer;Jean-Paul;818009;Baar;1331;0.0;284;13;13
Hosang;Benjamin;700720;Horgen;1330;-6.0;285;14;14
Wen;Rihui;600070;KV Liestal;1329;-10.0;286;14;14
Anido;Carlos;101825;UGS-Chênois;1329;6.0;287;14;14
Seifert;Tom;718071;Zürich-Affoltern;1328;-7.0;288;14;14
Hanus;Krzysztof;611084;Rio-Star Muttenz;1328;8.0;289;14;14
Geisler;Thorsten;601167;Aesch;1327;10.0;290;14;14
Schüürmann;Raffael;606014;Zofingen;1326;56.0;291;13;13
Chappuis;Vincent;206001;Bulle;1326;-7.0;292;14;14
Morgan;Beñat;114051;Vernier;1325;-7.0;293;14;14
Schulze;Hartmut;609058;Olten;1324;-11.0;294;14;14
Mignot;Christian;207100;Côte Peseux;1321;-13.0;295;14;14
Steiner;Edwin;801628;Kriens;1321;30.0;296;13;13
König;Dominic;504169;Burgdorf;1321;-70.0;297;15;15
Junker;Simon;503687;Burgdorf;1319;14.0;298;13;13
Granet;Victor;613065;Döttingen;1319;-29.0;299;15;15
Lüthy;Ivo;502553;Solothurn;1319;41.0;300;13;13
Zimmerli;Pierre;100746;UGS-Chênois;1319;-21.0;301;14;14
Lindenmann;Julian;702745;Bronschhofen;1318;25.0;302;13;13
Schärrer;Livio;713057;Neuhausen;1318;-8.0;303;14;14
Kellenberger;David;800742;Hünenberg;1318;0.0;304;13;13
Foletti;Marco;703168;Romanshorn;1317;-11.0;305;14;14
Leus;Fabio;507055;Heimberg;1317;-25.0;306;14;14
Spahiu;Belul;701537;Lenzburg;1317;-1.0;307;13;13
Adatte;Gaël;403276;Forward-Morges;1317;18.0;308;13;13
Krempus;Bostjan;404256;Sierre;1316;42.0;309;12;12
Müller;Jonas;604017;Basel;1315;31.0;310;13;13
Fauland;Frédéric;403662;ZZ-Lancy;1314;-9.0;311;14;14
Puertas;Carlos;400824;Rossens;1313;7.0;312;13;13
Riquet;Johannes;702026;Winterthur;1312;9.0;313;13;13
Berger;Alexandre;403417;Bulle;1312;-32.0;314;14;14
Göllnitz;Philippe;513030;Ostermundigen;1312;0.0;315;13;13
Trede;Noah;914060;T-Card;1311;0.0;316;13;13
Devaud;Philippe;206002;Cortaillod;1310;-16.0;317;14;14
Züst;Patrick;605022;Bremgarten;1310;28.0;318;13;13
Troxler;Roger;501371;Thun;1310;2.0;319;13;13
Kurtovic;Zdenko;700173;Niederhasli;1310;22.0;320;13;13
Postler;Eric;811024;Rapid Luzern;1310;0.0;321;13;13
Kreuzberg;Stephan;110048;Nyon;1310;2.0;322;13;13
Benoit;Dominique;210006;La Chaux-de-Fonds;1309;8.0;323;13;13
Wieland;Sebastian;700186;Hünenberg;1308;-2.0;324;13;13
Gaudreau;Thierry;105038;Carouge;1306;0.0;325;13;13
Furrer;Martin;801546;Kriens;1305;9.0;326;13;13
Layani;Joël;112079;UGS-Chênois;1304;-15.0;327;14;14
Lunzer;Maximilian;711015;St. Gallen;1304;0.0;328;13;13
Chanmongkhon;Su Pheaktra;403401;Bulle;1303;8.0;329;13;13
Schenk;Roger;501458;Herzogenbuchsee;1303;-26.0;330;14;14
Matusz;Pascal;503275;Thun;1303;0.0;331;13;13
Aeschimann;Teo;114052;Vernier;1302;45.0;332;12;12
Sarchi;Leonardo Gabriele;318012;Lugano;1301;-9.0;333;13;13
Wyss;Daniele;300222;Tenero;1301;0.0;334;13;13
Tschanz;Rudolf;500742;Münchenbuchsee;1301;-12.0;335;13;13
Thévenoz;Benoît;100832;Châtelaine;1301;0.0;336;13;13
Hafen;Martin;904012;Basel;1301;-24.0;337;14;14
Wüest;Stefan;600449;Aesch;1301;6.0;338;13;13
Baruchet;Robin;905032;Collombey/Muraz;1300;-28.0;339;14;14
Hofer;Christoph;503714;Hindelbank;1299;14.0;340;13;13
Reimann;Christoph;600832;Schöftland;1299;23.0;341;13;13
Traini;Lorenzo;914260;T-Card;1299;44.0;342;12;12
Hohl;Alexander;602469;Wettingen;1298;0.0;343;13;13
Böller;Bruno;600325;Bremgarten;1298;-19.0;344;13;13
Barbey;Romuald;903003;Carouge;1297;17.0;345;12;12
Jäger;Felix;601202;Bremgarten;1296;29.0;346;12;12
Duriez;Anthony;413060;Sierre;1296;0.0;347;13;13
Gagnebin;Ivan;100605;ZZ-Lancy;1294;6.0;348;13;13
Riesco;Manrico;714012;Wädenswil;1294;-27.0;349;13;13
Gisler;Yannis;616066;Basel;1293;116.0;350;8;8
Hoppe;Sören;712150;St. Gallen;1293;16.0;351;13;13
Vogelsang;Marcel;607022;Bremgarten;1292;-5.0;352;12;12
Persoz;Fabien;210066;Delémont;1292;27.0;353;12;12
Cherix;Jacques;400534;Collombey/Muraz;1292;-32.0;354;15;15
Thurnherr;Simon;108066;ZZ-Lancy;1292;9.0;355;13;13
Von Deschwanden;Yoann;410009;Vevey;1291;0.0;356;13;13
Leroy;Marc;102305;Mandement;1290;22.0;357;12;12
Schaffhauser;Benno;700706;Wädenswil;1290;16.0;358;12;12
Vu;Duy Phuong;101494;Rapid-Genève;1289;28.0;359;12;12
Buco;Bruno;400276;Collombey/Muraz;1289;6.0;360;12;12
Wermelinger;Fabian;702344;Wollerau;1287;29.0;361;12;12
Meyer;Sidney;608076;Spreitenbach;1287;6.0;362;12;12
Ravalec;Nicolas;111041;Châtelaine;1287;0.0;363;13;13
Huynh;Bao-Lôc;405313;Lausanne;1286;-4.0;364;13;13
Schmickler;Andreas;719097;Triesen;1286;-14.0;365;13;13
Dahms;René;604086;Basel;1282;1.0;366;12;12
Keel;Manuel;715166;Bronschhofen;1282;-2.0;367;12;12
Hänni;Janick;504317;Burgdorf;1281;-30.0;368;13;13
Guyot;Georges;235113;Delémont;1281;1.0;369;13;13
Varga;Ernö;601724;Aesch;1280;-4.0;370;12;12
Keucheyan;Asad;710069;Triesen;1280;-2.0;371;13;13
Mahon;Sven;911115;Vevey;1279;3.0;372;12;12
Jovanovic;Kosta;407008;Sierre;1278;0.0;373;12;12
Fässler;Mathias;700421;Chur;1278;-32.0;374;14;14
Flühler;Peter;804046;Sarnen;1275;-5.0;375;12;12
Hesse;Carmon;616022;Frick;1274;9.0;376;12;12
Möller;Benjamin;508003;Ostermundigen;1274;-3.0;377;12;12
Piller;François;404043;Fribourg;1273;1.0;378;12;12
Lügstenmann;Reto;501076;Münchenbuchsee;1273;10.0;379;12;12
Schläppi;Michel;500766;Triesen;1273;17.0;380;12;12
Burri;Raymond;813070;Rapid Luzern;1272;0.0;381;12;12
Kovacs;Stanislav;507087;Solothurn;1272;1.0;382;12;12
Morandi;Bill;700488;Young Stars ZH;1271;21.0;383;12;12
Alievski;Sejhan;615001;Lenzburg;1269;10.0;384;12;12
Flückiger;John;700423;Chur;1269;-50.0;385;13;13
Hess;Matthias;703538;Affoltern A/A;1268;3.0;386;12;12
Langer;René;809034;Kriens;1267;54.0;387;11;11
Blagodatskikh;Serguei;101605;Veyrier;1266;-24.0;388;13;13
Funk;Jörg;711060;Young Stars ZH;1266;-7.0;389;13;13
Salzmann;Patrick;702992;Wetzikon;1265;-4.0;390;12;12
Aepli;David;708111;Muolen;1265;20.0;391;12;12
Bury;Olbryan;114638;UGS-Chênois;1264;-20.0;392;12;12
Korner;Markus;601746;Bremgarten;1264;-10.0;393;13;13
Ferrari;Vittorio;702811;Young Stars ZH;1264;4.0;394;12;12
Svoboda;Jan;518024;Lyss;1263;7.0;395;12;12
Rauch;Marcus;514003;Herzogenbuchsee;1262;-35.0;396;13;13
Räber;Till;504130;Burgdorf;1262;-16.0;397;12;12
Ziegler;Rudolf;912004;Ittigen;1262;0.0;398;12;12
Pressacco;Philippe;109063;Carouge;1262;6.0;399;12;12
Heiniger;Andreas;602175;Oberwil;1261;5.0;400;12;12
Gasser;Philippe;207086;Cortaillod;1261;13.0;401;12;12
Stefanovic;Goran;712083;Zürich-Affoltern;1261;-1.0;402;13;13
Rüttimann;Marc;803179;Steinhausen;1260;38.0;403;11;11
Leikauf;Peter;600000;Wettingen;1259;0.0;404;12;12
Paglia;Raphael;702583;Horgen;1258;0.0;405;12;12
Behrendt;Martin;700105;Steckborn-Homburg;1258;14.0;406;12;12
Feuz;Robin;713036;Affoltern A/A;1258;-14.0;407;12;12
Fenyösy;Rudolf;517017;Solothurn;1258;-12.0;408;12;12
Huterer;Michael;711023;Uster;1258;-9.0;409;12;12
Girma;Messale;113011;Carouge;1257;-22.0;410;12;12
Pozzi;Marco;703395;Chur;1257;28.0;411;11;11
Stauber;Thomas;704185;Forward-Morges;1257;5.0;412;12;12
Stucki;Martin;500771;Münchenbuchsee;1256;25.0;413;11;11
Schläfli;Peter;500330;Ostermundigen;1255;29.0;414;12;12
Schärrer;Urs;701405;Neuhausen;1255;-1.0;415;12;12
