NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Schneider;Kerstin;714045;Uster;570;-30.0;413;1;1
Leder;Joline;517059;Lyss;569;-31.0;414;1;1
Burgat;Adèle;718035;Affoltern A/A;568;6.0;415;1;1
Thommen;Vivienne;619054;Gelterkinden;567;-18.0;416;1;1
Masucci;Enya;618100;Schöftland;566;-11.0;417;1;1
Hugo;Thérèse;407005;Lausanne;566;-34.0;418;1;1
Allenspach;Helga;702001;Buchs Zürich;564;-13.0;419;1;1
Formica;Delia;718026;Muolen;564;-36.0;420;1;1
Albrecht;Tanja;718038;Horn;564;-36.0;421;1;1
Lüthy;Romana;711059;Toggenburg;563;-37.0;422;1;1
Schuhmayer;Melina;719129;Uster;559;-71.0;423;1;1
Pinto Sbarra;Alessandra;818026;Rapid Luzern;558;-42.0;424;1;1
Waldmann;Stefanie;818030;Rapid Luzern;558;-42.0;425;1;1
Hildbrand;Michelle;419049;Gampel-Steg;553;-77.0;426;1;1
Hanhart;Norina;718125;Uster;552;-48.0;427;1;1
Pandel;Oceane;119031;Bernex;543;-87.0;428;1;1
Finschi;Andrina;817023;Zug;535;-65.0;429;1;1
Gaggioli;Malu;718016;Wuppenau;531;-69.0;430;1;1
